,date,state,vehicle_category,electric_vehicles_sold,total_vehicles_sold
311,2022-08-01,maharashtra,4-wheelers,992,40173
312,2022-08-01,manipur,2-wheelers,8,3647
313,2022-08-01,manipur,4-wheelers,0,623
314,2022-08-01,meghalaya,2-wheelers,2,1734
315,2022-08-01,meghalaya,4-wheelers,0,1120
316,2022-08-01,mizoram,2-wheelers,6,2062
317,2022-08-01,mizoram,4-wheelers,0,408
318,2022-08-01,nagaland,2-wheelers,0,554
319,2022-08-01,nagaland,4-wheelers,0,844
320,2022-08-01,odisha,2-wheelers,2007,30540
321,2022-08-01,odisha,4-wheelers,43,5716
322,2022-08-01,puducherry,2-wheelers,91,3810
323,2022-08-01,puducherry,4-wheelers,4,758
324,2022-08-01,punjab,2-wheelers,645,32591
325,2022-08-01,punjab,4-wheelers,3,9913
326,2022-08-01,rajasthan,2-wheelers,4159,60191
327,2022-08-01,rajasthan,4-wheelers,145,12578
328,2022-08-01,sikkim,2-wheelers,0,394
329,2022-08-01,sikkim,4-wheelers,0,421
330,2022-08-01,tamil nadu,2-wheelers,5306,120312
331,2022-08-01,tamil nadu,4-wheelers,182,20944
332,2022-08-01,tripura,2-wheelers,14,2643
333,2022-08-01,tripura,4-wheelers,0,403
334,2022-08-01,uttar pradesh,2-wheelers,1920,131703
335,2022-08-01,uttar pradesh,4-wheelers,15,25778
336,2022-08-01,uttarakhand,2-wheelers,494,12711
337,2022-08-01,uttarakhand,4-wheelers,34,3599
338,2022-08-01,west bengal,2-wheelers,663,62200
339,2022-08-01,west bengal,4-wheelers,110,9228
340,2023-08-01,andaman & nicobar island,2-wheelers,0,477
341,2023-08-01,andaman & nicobar island,4-wheelers,3,183
342,2023-08-01,andhra pradesh,2-wheelers,1568,56399
343,2023-08-01,andhra pradesh,4-wheelers,104,7397
344,2023-08-01,arunachal pradesh,2-wheelers,0,1292
345,2023-08-01,arunachal pradesh,4-wheelers,4,1121
346,2023-08-01,assam,2-wheelers,147,31641
347,2023-08-01,assam,4-wheelers,27,7557
348,2023-08-01,bihar,2-wheelers,713,58346
349,2023-08-01,bihar,4-wheelers,53,5334
350,2023-08-01,chandigarh,2-wheelers,125,1789
351,2023-08-01,chandigarh,4-wheelers,80,1937
352,2023-08-01,chhattisgarh,2-wheelers,2088,28699
353,2023-08-01,chhattisgarh,4-wheelers,107,3859
354,2023-08-01,delhi,2-wheelers,2116,33120
355,2023-08-01,delhi,4-wheelers,440,15852
356,2023-08-01,dnh and dd,2-wheelers,6,606
357,2023-08-01,dnh and dd,4-wheelers,1,357
358,2023-08-01,goa,2-wheelers,689,4098
359,2023-08-01,goa,4-wheelers,98,2177
360,2023-08-01,gujarat,2-wheelers,5755,87134
361,2023-08-01,gujarat,4-wheelers,512,25572
362,2023-08-01,haryana,2-wheelers,399,38102
363,2023-08-01,haryana,4-wheelers,189,24414
364,2023-08-01,himachal pradesh,2-wheelers,64,5345
365,2023-08-01,himachal pradesh,4-wheelers,11,3975
366,2023-08-01,jammu and kashmir,2-wheelers,98,8650
367,2023-08-01,jammu and kashmir,4-wheelers,15,4843
368,2023-08-01,jharkhand,2-wheelers,455,27909
369,2023-08-01,jharkhand,4-wheelers,52,4040
370,2023-08-01,karnataka,2-wheelers,9720,101545
371,2023-08-01,karnataka,4-wheelers,1196,28235
372,2023-08-01,kerala,2-wheelers,4798,49548
373,2023-08-01,kerala,4-wheelers,736,18189
374,2023-08-01,ladakh,2-wheelers,0,63
375,2023-08-01,ladakh,4-wheelers,0,278
376,2023-08-01,madhya pradesh,2-wheelers,3907,73963
377,2023-08-01,madhya pradesh,4-wheelers,112,11479
378,2023-08-01,maharashtra,2-wheelers,12043,133378
379,2023-08-01,maharashtra,4-wheelers,1070,40169
380,2023-08-01,manipur,2-wheelers,8,846
381,2023-08-01,manipur,4-wheelers,6,458
382,2023-08-01,meghalaya,2-wheelers,15,2060
383,2023-08-01,meghalaya,4-wheelers,3,1215
384,2023-08-01,mizoram,2-wheelers,4,1908
385,2023-08-01,mizoram,4-wheelers,0,410
386,2023-08-01,nagaland,2-wheelers,0,592
387,2023-08-01,nagaland,4-wheelers,0,760
388,2023-08-01,odisha,2-wheelers,2737,36033
389,2023-08-01,odisha,4-wheelers,146,6282
390,2023-08-01,puducherry,2-wheelers,197,4141
391,2023-08-01,puducherry,4-wheelers,14,955
392,2023-08-01,punjab,2-wheelers,642,34784
393,2023-08-01,punjab,4-wheelers,75,11493
394,2023-08-01,rajasthan,2-wheelers,4313,76171
395,2023-08-01,rajasthan,4-wheelers,396,14786
396,2023-08-01,sikkim,2-wheelers,0,465
397,2023-08-01,sikkim,4-wheelers,0,460
398,2023-08-01,tamil nadu,2-wheelers,6246,128997
399,2023-08-01,tamil nadu,4-wheelers,591,23537
400,2023-08-01,tripura,2-wheelers,33,3154
401,2023-08-01,tripura,4-wheelers,2,466
402,2023-08-01,uttar pradesh,2-wheelers,2710,146984
403,2023-08-01,uttar pradesh,4-wheelers,482,29829
404,2023-08-01,uttarakhand,2-wheelers,364,12790
405,2023-08-01,uttarakhand,4-wheelers,50,4283
406,2023-08-01,west bengal,2-wheelers,511,64154
407,2023-08-01,west bengal,4-wheelers,178,9101
408,2021-12-01,andaman & nicobar island,2-wheelers,0,376
409,2021-12-01,andaman & nicobar island,4-wheelers,1,122
410,2021-12-01,andhra pradesh,2-wheelers,985,42446
411,2021-12-01,andhra pradesh,4-wheelers,31,6314
412,2021-12-01,arunachal pradesh,2-wheelers,0,1036
413,2021-12-01,arunachal pradesh,4-wheelers,0,709
414,2021-12-01,assam,2-wheelers,93,28392
415,2021-12-01,assam,4-wheelers,3,6737
416,2021-12-01,bihar,2-wheelers,467,63454
417,2021-12-01,bihar,4-wheelers,7,5031
418,2021-12-01,chandigarh,2-wheelers,30,1252
419,2021-12-01,chandigarh,4-wheelers,12,1985
420,2021-12-01,chhattisgarh,2-wheelers,500,24772
421,2021-12-01,chhattisgarh,4-wheelers,5,3651
422,2021-12-01,delhi,2-wheelers,1258,18687
423,2021-12-01,delhi,4-wheelers,277,12633
424,2021-12-01,dnh and dd,2-wheelers,4,1100
425,2021-12-01,dnh and dd,4-wheelers,1,336
426,2021-12-01,goa,2-wheelers,153,3468
427,2021-12-01,goa,4-wheelers,19,1306
428,2021-12-01,gujarat,2-wheelers,2111,92992
429,2021-12-01,gujarat,4-wheelers,163,24277
430,2021-12-01,haryana,2-wheelers,670,40694
431,2021-12-01,haryana,4-wheelers,11,16015
432,2021-12-01,himachal pradesh,2-wheelers,73,6044
433,2021-12-01,himachal pradesh,4-wheelers,1,4105
434,2021-12-01,jammu and kashmir,2-wheelers,110,4076
435,2021-12-01,jammu and kashmir,4-wheelers,0,5306
436,2021-12-01,jharkhand,2-wheelers,293,26077
437,2021-12-01,jharkhand,4-wheelers,3,4258
438,2021-12-01,karnataka,2-wheelers,4381,83147
439,2021-12-01,karnataka,4-wheelers,153,16243
440,2021-12-01,kerala,2-wheelers,1107,43996
441,2021-12-01,kerala,4-wheelers,186,16994
442,2021-12-01,ladakh,2-wheelers,0,15
443,2021-12-01,ladakh,4-wheelers,0,167
444,2021-12-01,madhya pradesh,2-wheelers,901,110877
445,2021-12-01,madhya pradesh,4-wheelers,30,11820
446,2021-12-01,maharashtra,2-wheelers,4775,134502
447,2021-12-01,maharashtra,4-wheelers,1392,29346
448,2021-12-01,manipur,2-wheelers,4,3649
449,2021-12-01,manipur,4-wheelers,0,849
450,2021-12-01,meghalaya,2-wheelers,0,1101
451,2021-12-01,meghalaya,4-wheelers,0,888
452,2021-12-01,mizoram,2-wheelers,0,1740
453,2021-12-01,mizoram,4-wheelers,0,376
454,2021-12-01,nagaland,2-wheelers,0,353
455,2021-12-01,nagaland,4-wheelers,0,540
456,2021-12-01,odisha,2-wheelers,939,26693
457,2021-12-01,odisha,4-wheelers,20,4634
458,2021-12-01,puducherry,2-wheelers,81,2589
459,2021-12-01,puducherry,4-wheelers,2,608
460,2021-12-01,punjab,2-wheelers,450,35287
461,2021-12-01,punjab,4-wheelers,6,10624
462,2021-12-01,rajasthan,2-wheelers,2119,61061
463,2021-12-01,rajasthan,4-wheelers,73,12739
464,2021-12-01,sikkim,2-wheelers,0,454
465,2021-12-01,sikkim,4-wheelers,0,394
466,2021-12-01,tamil nadu,2-wheelers,3236,83485
467,2021-12-01,tamil nadu,4-wheelers,121,17001
468,2021-12-01,tripura,2-wheelers,1,3579
469,2021-12-01,tripura,4-wheelers,0,352
470,2021-12-01,uttar pradesh,2-wheelers,1371,268713
471,2021-12-01,uttar pradesh,4-wheelers,21,33774
472,2021-12-01,uttarakhand,2-wheelers,229,12632
473,2021-12-01,uttarakhand,4-wheelers,38,4270
474,2021-12-01,west bengal,2-wheelers,285,73989
475,2021-12-01,west bengal,4-wheelers,39,8452
476,2022-12-01,andaman & nicobar island,2-wheelers,10,397
477,2022-12-01,andaman & nicobar island,4-wheelers,3,229
478,2022-12-01,andhra pradesh,2-wheelers,2718,47327
479,2022-12-01,andhra pradesh,4-wheelers,120,6769
480,2022-12-01,arunachal pradesh,2-wheelers,1,925
481,2022-12-01,arunachal pradesh,4-wheelers,0,865
482,2022-12-01,assam,2-wheelers,250,34737
483,2022-12-01,assam,4-wheelers,4,8441
484,2022-12-01,bihar,2-wheelers,987,60432
485,2022-12-01,bihar,4-wheelers,5,4752
486,2022-12-01,chandigarh,2-wheelers,123,1454
487,2022-12-01,chandigarh,4-wheelers,46,2261
488,2022-12-01,chhattisgarh,2-wheelers,1883,26359
489,2022-12-01,chhattisgarh,4-wheelers,40,3887
490,2022-12-01,delhi,2-wheelers,3826,21773
491,2022-12-01,delhi,4-wheelers,791,15492
492,2022-12-01,dnh and dd,2-wheelers,19,1112
493,2022-12-01,dnh and dd,4-wheelers,2,365
494,2022-12-01,goa,2-wheelers,528,4983
495,2022-12-01,goa,4-wheelers,30,1744
496,2022-12-01,gujarat,2-wheelers,7906,107138
497,2022-12-01,gujarat,4-wheelers,260,27614
498,2022-12-01,haryana,2-wheelers,885,37571
499,2022-12-01,haryana,4-wheelers,177,18223
500,2022-12-01,himachal pradesh,2-wheelers,100,6751
501,2022-12-01,himachal pradesh,4-wheelers,7,4026
502,2022-12-01,jammu and kashmir,2-wheelers,150,3943
503,2022-12-01,jammu and kashmir,4-wheelers,4,5304
504,2022-12-01,jharkhand,2-wheelers,653,27130
505,2022-12-01,jharkhand,4-wheelers,22,3979
506,2022-12-01,karnataka,2-wheelers,7750,75110
507,2022-12-01,karnataka,4-wheelers,438,22142
508,2022-12-01,kerala,2-wheelers,4112,40445
509,2022-12-01,kerala,4-wheelers,298,16601
510,2022-12-01,ladakh,2-wheelers,0,16
511,2022-12-01,ladakh,4-wheelers,0,144
512,2022-12-01,madhya pradesh,2-wheelers,2328,64980
513,2022-12-01,madhya pradesh,4-wheelers,35,11124
514,2022-12-01,maharashtra,2-wheelers,13076,136534
515,2022-12-01,maharashtra,4-wheelers,887,32422
516,2022-12-01,manipur,2-wheelers,63,4150
517,2022-12-01,manipur,4-wheelers,0,1478
518,2022-12-01,meghalaya,2-wheelers,1,1180
